chalcopyrite1.jpg,chalcopyrite2.png,chalcopyrite3.png,pyrite1.png,pyrite2.png
3895.0,56411,709.0,5651.0,6.0
49.0,909,24.0,6.0,6.0
1288.0,1627,10.0,27.0,3262.0
19581.0,3280,20.0,30.0,13.0
70.0,854,34.0,189.0,6.0
52.0,319,8.0,25.0,492.0
9.0,106,6.0,18.0,32.0
59.0,604,10.0,28.0,166.0
59.0,3969,6.0,9.0,142.0
25.0,746,81.0,139.0,16.0
88.0,561,6.0,366.0,14.0
12.0,108,38.0,408.0,6.0
52.0,172,148.0,15.0,8.0
213.0,389,29.0,108.0,436.0
441.0,1976,21.0,406.0,17.0
21.0,102,55.0,323.0,56.0
22.0,267,10.0,58.0,44.0
296.0,256,12.0,12.0,171.0
52.0,62,57.0,40.0,36.0
693.0,313,14.0,212.0,95.0
9.0,592,8.0,101.0,6.0
16.0,18,10.0,18.0,99.0
12.0,24,8.0,24.0,18.0
44.0,190,602.0,9.0,53.0
18.0,118,93.0,18.0,8.0
23.0,24,16.0,9.0,17.0
25.0,279,448.0,28.0,153.0
16.0,25,8.0,12.0,33.0
9.0,50,6.0,83.0,6.0
12.0,92,6.0,9.0,6.0
30.0,29,10.0,27.0,19.0
15.0,129,14.0,9.0,11.0
9.0,69,8.0,9.0,11.0
9.0,168,14.0,49.0,31.0
499.0,206,49.0,15.0,20.0
9.0,156,33.0,12.0,78.0
18.0,298,14.0,645.0,102.0
23.0,67,6.0,43.0,57.0
9.0,14,132.0,19.0,21.0
9.0,205,6.0,26.0,10.0
9.0,178,106.0,22.0,40.0
26.0,27,8.0,21.0,6.0
9.0,65,21.0,45.0,32.0
9.0,26,65.0,12.0,9.0
60.0,49,25.0,9.0,104.0
12.0,22,623.0,31.0,40.0
12.0,12,96.0,9.0,17.0
18.0,15,15.0,14.0,24.0
26.0,623,95.0,9.0,59.0
24.0,12,46.0,9.0,9.0
93.0,92,45.0,6.0,30.0
12.0,51,72.0,12.0,9.0
18.0,37,9.0,23.0,60.0
9.0,24,73.0,9.0,9.0
9.0,77,15.0,9.0,15.0
17.0,21,20.0,45.0,27.0
121.0,311,9.0,18.0,146.0
9.0,60,12.0,18.0,82.0
18.0,401,15.0,9.0,129.0
20.0,60,12.0,49.0,207.0
30.0,25,9.0,12.0,9.0
9.0,52,44.0,15.0,9.0
15.0,12,15.0,9.0,18.0
9.0,12,15.0,311.0,15.0
29.0,248,40.0,55.0,32.0
9.0,92,72.0,9.0,9.0
24.0,43,85.0,22.0,38.0
15.0,72,19.0,16.0,18.0
15.0,149,53.0,159.0,9.0
9.0,233,21.0,23.0,48.0
110.0,61,410.0,100.0,31.0
9.0,45,340.0,14.0,45.0
12.0,135,9.0,23.0,30.0
9.0,54,15.0,18.0,42.0
12.0,47,52.0,92.0,49.0
12.0,191,75.0,9.0,187.0
14.0,75,35.0,9.0,12.0
92.0,48,34.0,26.0,29.0
39.0,386,15.0,9.0,71.0
9.0,264,9.0,63.0,22.0
12.0,123,40.0,1242.0,71.0
57.0,154,9.0,18.0,9.0
12.0,169,28.0,9.0,1130.0
37.0,51,20.0,42.0,53.0
41.0,165,390.0,30.0,18.0
30.0,100,15.0,69.0,100.0
33.0,42,23.0,34.0,18.0
9.0,9,87.0,125.0,35.0
9.0,29,15.0,72.0,139.0
12.0,557,131.0,56.0,12.0
19.0,108,37.0,22.0,12.0
24.0,317,26.0,41.0,52.0
17.0,417,37.0,76.0,31.0
9.0,36,43.0,34.0,20.0
43.0,417,87.0,9.0,12.0
23.0,811,17.0,37.0,57.0
70.0,51,9.0,21.0,9.0
9.0,45,9.0,6.0,12.0
9.0,37,22.0,54.0,15.0
17.0,46,88.0,18.0,67.0
9.0,177,42.0,12.0,40.0
9.0,444,21.0,9.0,15.0
9.0,9,9.0,9.0,9.0
9.0,264,15.0,18.0,48.0
12.0,123,113.0,38.0,26.0
9.0,88,36.0,25.0,32.0
145.0,107,25.0,16.0,94.0
9.0,31,32.0,24.0,242.0
9.0,33,390.0,15.0,9.0
9.0,35,9.0,15.0,6.0
43.0,52,140.0,26.0,49.0
9.0,127,32.0,18.0,59.0
17.0,20,77.0,12.0,222.0
9.0,75,12.0,9.0,50.0
12.0,106,61.0,15.0,36.0
9.0,133,9.0,41.0,18.0
9.0,112,315.0,9.0,12.0
18.0,93,35.0,128.0,206.0
30.0,575,62.0,33.0,9.0
9.0,304,60.0,48.0,116.0
45.0,389,34.0,42.0,114.0
15.0,85,98.0,23.0,125.0
34.0,158,133.0,14.0,74.0
27.0,21,9.0,20.0,21.0
9.0,23,49.0,9.0,33.0
9.0,46,187.0,26.0,74.0
112.0,14,31.0,9.0,256.0
64.0,41,61.0,15.0,15.0
24.0,69,22.0,25.0,29.0
9.0,827,15.0,36.0,142.0
9.0,14,47.0,19.0,164.0
53.0,56,28.0,16.0,56.0
24.0,113,29.0,9.0,71.0
15.0,56,9.0,15.0,33.0
12.0,169,12.0,159.0,203.0
15.0,80,175.0,9.0,9.0
19.0,345,48.0,9.0,99.0
9.0,26,12.0,49.0,25.0
22.0,887,92.0,15.0,53.0
54.0,87,18.0,67.0,227.0
12.0,76,41.0,25.0,63.0
38.0,189,9.0,20.0,127.0
9.0,48,9.0,298.0,49.0
21.0,195,63.0,264.0,85.0
24.0,9,61.0,17.0,157.0
18.0,56,9.0,24.0,91.0
19.0,85,42.0,20.0,101.0
135.0,109,14.0,71.0,103.0
67.0,18,9.0,28.0,20.0
275.0,119,29.0,296.0,51.0
9.0,152,14.0,12.0,20.0
9.0,41,53.0,28.0,45.0
12.0,150,133.0,33.0,9.0
33.0,20,12.0,9.0,49.0
9.0,23,58.0,12.0,9.0
12.0,12,12.0,14.0,9.0
100.0,15,24.0,9.0,155.0
24.0,82,9.0,27.0,34.0
9.0,17,9.0,16.0,12.0
33.0,51,21.0,16.0,26.0
55.0,12,32.0,18.0,86.0
30.0,12,9.0,14.0,104.0
9.0,79,28.0,12.0,50.0
24.0,78,18.0,44.0,86.0
9.0,9,9.0,469.0,9.0
14.0,67,16.0,12.0,109.0
29.0,56,682.0,15.0,57.0
22.0,386,20.0,19.0,9.0
33.0,214,12.0,15.0,34.0
18.0,312,9.0,18.0,20.0
32.0,185,129.0,28.0,9.0
22.0,49,9.0,15.0,197.0
32.0,12,25.0,18.0,15.0
28.0,41,9.0,27.0,93.0
2014.0,21,29.0,23.0,76.0
25.0,38,426.0,25.0,22.0
9.0,61,22.0,44.0,326.0
48.0,60,189.0,282.0,17.0
26.0,9,18.0,20.0,53.0
15.0,84,32.0,22.0,48.0
45.0,82,15.0,9.0,9.0
50.0,69,9.0,46.0,53.0
14.0,136,31.0,159.0,9.0
9.0,38,18.0,9.0,20.0
46.0,73,41.0,103.0,9.0
27.0,57,9.0,164.0,53.0
512.0,69,21.0,102.0,61.0
61.0,344,9.0,18.0,32.0
9.0,425,47.0,24.0,40.0
21.0,459,80.0,137.0,19.0
12.0,557,12.0,15.0,12.0
23.0,47,9.0,49.0,111.0
27.0,25,9.0,12.0,9.0
34.0,106,12.0,9.0,23.0
9.0,81,9.0,23.0,9.0
43.0,33,94.0,32.0,99.0
96.0,100,23.0,19.0,24.0
29.0,652,42.0,42.0,15.0
38.0,139,24.0,12.0,68.0
15.0,21,9.0,15.0,9.0
45.0,492,58.0,42.0,95.0
12.0,66,204.0,9.0,47.0
54.0,86,14.0,9.0,53.0
18.0,689,20.0,44.0,200.0
33.0,1171,17.0,9.0,12.0
9.0,12,9.0,17.0,12.0
9.0,132,28.0,9.0,20.0
48.0,32,12.0,9.0,28.0
19.0,18,66.0,12.0,39.0
19.0,101,18.0,33.0,14.0
182.0,9,90.0,12.0,43.0
18.0,45,9.0,9.0,18.0
20.0,25,19.0,9.0,64.0
32.0,155,21.0,22.0,76.0
9.0,47,9.0,130.0,43.0
9.0,9,9.0,22.0,163.0
17.0,44,15.0,28.0,69.0
15.0,32,24.0,21.0,14.0
9.0,453,94.0,9.0,35.0
25.0,142,31.0,12.0,21.0
15.0,42,36.0,9.0,19.0
21.0,135,464.0,15.0,9.0
18.0,9,16.0,15.0,9.0
12.0,36,237.0,24.0,21.0
22.0,9,20.0,62.0,15.0
25.0,66,9.0,12.0,48.0
15.0,25,130.0,38.0,9.0
69.0,24,12.0,9.0,16.0
9.0,64,197.0,15.0,15.0
9.0,41,27.0,12.0,9.0
23.0,64,164.0,9.0,38.0
456.0,87,27.0,12.0,21.0
15.0,214,89.0,18.0,38.0
26.0,227,12.0,54.0,28.0
23.0,103,12.0,24.0,14.0
9.0,272,71.0,21.0,12.0
12.0,44,16.0,53.0,391.0
15.0,336,9.0,9.0,24.0
32.0,9,156.0,20.0,333.0
14.0,22,19.0,14.0,78.0
12.0,163,9.0,21.0,9.0
21.0,26,12.0,9.0,73.0
21.0,26,9.0,29.0,40.0
9.0,73,9.0,9.0,18.0
9.0,30,9.0,15.0,15.0
85.0,681,235.0,14.0,9.0
25.0,35,9.0,9.0,170.0
18.0,44,132.0,12.0,149.0
29.0,103,15.0,35.0,37.0
40.0,64,9.0,150.0,33.0
15.0,30,12.0,43.0,45.0
34.0,41,215.0,46.0,221.0
12.0,102,41.0,29.0,40.0
31.0,44,27.0,14.0,9.0
18.0,153,827.0,12.0,139.0
12.0,38,15.0,9.0,9.0
35.0,39,12.0,9.0,24.0
20.0,388,26.0,18.0,36.0
9.0,224,9.0,9.0,9.0
36.0,185,33.0,22.0,12.0
167.0,38,9.0,50.0,25.0
25.0,429,199.0,9.0,9.0
18.0,580,9.0,37.0,15.0
24.0,43,79.0,12.0,12.0
21.0,192,148.0,42.0,18.0
9.0,96,36.0,85.0,22.0
9.0,125,12.0,18.0,9.0
9.0,50,12.0,9.0,56.0
12.0,102,20.0,77.0,68.0
48.0,129,110.0,17.0,19.0
12.0,214,147.0,9.0,303.0
53.0,129,35.0,66.0,18.0
46.0,305,101.0,9.0,20.0
12.0,74,12.0,31.0,74.0
25.0,89,12.0,28.0,9.0
9.0,58,9.0,54.0,71.0
9.0,541,27.0,12.0,6.0
9.0,38,15.0,15.0,470.0
12.0,217,12.0,17.0,22.0
18.0,670,31.0,29.0,31.0
25.0,49,12.0,48.0,9.0
20.0,9,9.0,9.0,12.0
18.0,94,130.0,57.0,9.0
12.0,550,39.0,9.0,12.0
9.0,59,16.0,9.0,15.0
42.0,36,223.0,19.0,17.0
17.0,57,14.0,12.0,42.0
46.0,19,48.0,12.0,22.0
22.0,254,126.0,15.0,50.0
9.0,92,36.0,16.0,57.0
22.0,15,23.0,44.0,90.0
43.0,141,80.0,25.0,22.0
86.0,46,319.0,9.0,12.0
9.0,167,9.0,9.0,28.0
27.0,284,9.0,19.0,54.0
9.0,33,9.0,57.0,65.0
15.0,9,126.0,22.0,66.0
352.0,60,70.0,18.0,17.0
9.0,75,18.0,9.0,19.0
33.0,200,22.0,19.0,14.0
57.0,9,48.0,41.0,30.0
9.0,95,67.0,127.0,9.0
9.0,12,24.0,20.0,30.0
33.0,349,9.0,52.0,21.0
34.0,107,28.0,24.0,20.0
22.0,526,48.0,77.0,50.0
12.0,66,18.0,207.0,103.0
9.0,191,9.0,127.0,348.0
16.0,116,97.0,9.0,71.0
9.0,136,22.0,38.0,12.0
12.0,16,12.0,61.0,94.0
15.0,53,9.0,96.0,21.0
12.0,32,34.0,37.0,9.0
9.0,76,75.0,42.0,69.0
14.0,24,12.0,314.0,105.0
9.0,20,23.0,23.0,14.0
14.0,141,19.0,27.0,27.0
9.0,40,17.0,22.0,24.0
12.0,503,22.0,94.0,35.0
9.0,530,9.0,43.0,21.0
12.0,96,35.0,9.0,9.0
9.0,34,41.0,9.0,27.0
41.0,153,110.0,20.0,6.0
12.0,15,64.0,9.0,15.0
21.0,219,9.0,9.0,9.0
9.0,177,15.0,24.0,166.0
15.0,50,41.0,9.0,33.0
66.0,20,9.0,78.0,171.0
15.0,9,15.0,15.0,120.0
30.0,131,9.0,18.0,9.0
24.0,960,9.0,233.0,219.0
9.0,9,19.0,25.0,54.0
16.0,365,22.0,22.0,38.0
12.0,75,66.0,18.0,33.0
9.0,71,21.0,12.0,213.0
56.0,41,75.0,118.0,9.0
12.0,9,9.0,9.0,32.0
15.0,182,207.0,12.0,45.0
17.0,317,22.0,37.0,16.0
32.0,88,136.0,12.0,18.0
53.0,16,39.0,389.0,236.0
15.0,156,82.0,19.0,138.0
15.0,150,9.0,16.0,28.0
9.0,25,78.0,73.0,9.0
15.0,15,9.0,161.0,59.0
12.0,25,9.0,9.0,69.0
38.0,119,27.0,30.0,20.0
12.0,59,9.0,25.0,135.0
9.0,29,9.0,9.0,15.0
9.0,26,171.0,43.0,31.0
20.0,94,9.0,31.0,35.0
12.0,109,184.0,90.0,74.0
26.0,77,56.0,12.0,27.0
9.0,83,9.0,310.0,59.0
12.0,129,9.0,15.0,12.0
18.0,66,45.0,20.0,9.0
16.0,133,9.0,15.0,9.0
25.0,12,18.0,34.0,74.0
9.0,9,16.0,30.0,38.0
19.0,170,42.0,20.0,9.0
59.0,244,517.0,52.0,57.0
44.0,52,15.0,334.0,25.0
100.0,114,266.0,61.0,70.0
43.0,633,30.0,9.0,37.0
12.0,48,150.0,21.0,102.0
9.0,28,50.0,14.0,9.0
9.0,54,33.0,15.0,12.0
9.0,99,21.0,111.0,9.0
28.0,44,45.0,15.0,33.0
27.0,44,9.0,23.0,25.0
43.0,9,42.0,62.0,164.0
12.0,372,25.0,138.0,71.0
12.0,17,167.0,9.0,9.0
12.0,17,9.0,29.0,50.0
58.0,891,27.0,40.0,15.0
39.0,43,33.0,9.0,30.0
18.0,1712,9.0,23.0,140.0
15.0,22,16.0,9.0,29.0
19.0,38,38.0,9.0,21.0
9.0,402,30.0,37.0,24.0
21.0,29,18.0,52.0,59.0
9.0,751,379.0,314.0,33.0
47.0,1515,9.0,9.0,12.0
9.0,78,9.0,31.0,18.0
9.0,244,27.0,12.0,68.0
9.0,85,12.0,17.0,12.0
55.0,88,24.0,27.0,23.0
21.0,9,33.0,172.0,12.0
12.0,127,9.0,9.0,15.0
12.0,26,12.0,9.0,12.0
9.0,61,31.0,60.0,12.0
18.0,35,9.0,18.0,60.0
55.0,100,16.0,45.0,58.0
18.0,55,30.0,54.0,45.0
68.0,111,35.0,696.0,100.0
15.0,18,12.0,51.0,60.0
14.0,141,9.0,12.0,9.0
19.0,67,28.0,55.0,15.0
19.0,34,9.0,19.0,15.0
14.0,65,91.0,12.0,61.0
9.0,16,12.0,93.0,19.0
9.0,167,9.0,9.0,12.0
27.0,21,23.0,12.0,9.0
88.0,431,15.0,29.0,9.0
34.0,9,9.0,9.0,22.0
9.0,22,43.0,35.0,68.0
29.0,108,228.0,9.0,65.0
76.0,9,12.0,19.0,44.0
9.0,85,9.0,22.0,9.0
30.0,515,12.0,9.0,18.0
9.0,35,15.0,12.0,39.0
16.0,202,22.0,55.0,46.0
